Rank,Trend,Normalized volume,Weekly change,Monthly change,Yearly change,2024-02-15,2024-02-22,2024-02-29,2024-03-07,2024-03-14,2024-03-21,2024-03-28,2024-04-04,2024-04-11,2024-04-18,2024-04-25,2024-05-02,2024-05-09,2024-05-16,2024-05-23,2024-05-30,2024-06-06,2024-06-13,2024-06-20,2024-06-27,2024-07-04,2024-07-11,2024-07-18,2024-07-25,2024-08-01,2024-08-08,2024-08-15,2024-08-22,2024-08-29,2024-09-05,2024-09-12,2024-09-19,2024-09-26,2024-10-03,2024-10-10,2024-10-17,2024-10-24,2024-10-31,2024-11-07,2024-11-14,2024-11-21,2024-11-28,2024-12-05,2024-12-12,2024-12-19,2024-12-26,2025-01-02,2025-01-09,2025-01-16,2025-01-23,2025-01-30,2025-02-06,2025-02-13,2025-02-20,2025-02-27,2025-03-06,2025-03-13,2025-03-20,2025-03-27,2025-04-03,2025-04-10,2025-04-17,2025-04-24,2025-05-01,2025-05-08,2025-05-15
1,air fryer recipes,100,"-10%","-30%","-40%",57,58,60,56,53,52,49,43,53,48,47,45,44,48,46,44,46,46,47,46,41,47,51,57,49,46,46,45,45,41,42,39,37,35,37,40,35,31,37,36,38,28,44,40,37,60,100,77,63,54,50,46,40,41,36,36,35,33,32,30,29,29,29,29,28,28
5,air fryer chicken breast,35,"-10%","10%","-40%",90,96,100,99,92,91,90,80,93,87,83,82,79,76,78,72,77,74,74,78,62,75,77,75,73,72,70,72,70,59,63,61,59,56,56,50,51,49,57,54,58,36,50,57,50,32,60,92,88,77,78,73,63,,,,,,,,,,,,,
8,air fryer chicken wings,26,"200%","60%","-40%",100,24,24,24,22,21,22,19,22,22,22,21,19,19,20,20,20,20,20,20,20,19,20,20,19,18,19,19,20,21,23,20,19,19,18,18,17,16,19,17,18,13,15,17,16,17,28,23,26,29,28,24,69,19,18,16,16,16,16,15,15,14,14,15,14,13
9,air fryer salmon,24,"-20%","10%","-30%",83,89,100,97,92,90,84,77,83,83,78,76,75,73,76,65,74,69,69,74,60,70,73,68,69,67,67,69,69,57,65,61,60,59,57,52,52,46,55,54,55,38,44,55,47,33,55,87,83,74,78,71,57,,,,,,,,,,,,,
12,air fryer potatoes,20,"-10%","3%","-30%",98,94,100,99,94,96,88,84,92,92,87,86,81,84,83,82,81,80,84,82,76,79,81,82,79,77,78,77,77,75,72,68,69,64,63,59,60,53,62,61,61,48,48,59,55,56,73,86,90,82,78,76,67,79,75,74,71,69,68,66,65,64,63,63,60,60
15,air fryer chicken,15,"-20%","9%","-20%",82,93,100,98,88,91,89,82,89,89,91,84,85,81,85,76,85,78,74,81,64,75,75,77,72,74,74,73,74,67,68,64,62,56,57,58,56,53,64,60,60,39,55,62,54,37,66,92,92,78,79,76,64,74,74,70,68,66,65,64,61,61,58,61,58,53
16,air fryer chicken thighs,14,"-10%","10%","-20%",72,78,82,77,77,71,74,66,77,72,74,71,67,71,73,68,73,68,73,80,64,77,82,80,80,80,75,76,78,56,71,69,68,65,64,60,57,53,66,68,69,43,60,67,63,38,59,100,93,86,83,82,72,,,,,,,,,,,,,
17,air fryer pork chops,13,"-20%","20%","-40%",84,90,100,100,92,94,88,75,90,85,84,82,79,71,82,66,78,72,72,81,62,68,76,73,74,67,68,71,67,56,61,63,60,58,62,51,50,46,55,59,57,38,51,58,54,30,55,79,87,76,78,74,62,,,,,,,,,,,,,
20,baked potatoes in air fryer,12,"-9%","0%","-20%",98,81,88,85,88,81,82,80,95,93,84,85,81,88,83,86,81,82,100,79,84,82,83,83,80,76,75,81,79,72,75,74,73,68,70,63,63,57,61,56,56,48,44,52,49,59,55,62,68,63,60,59,53,76,64,61,59,57,56,57,56,57,56,53,50,55
24,air fryer baked potato,11,"-8%","3%","-20%",92,76,87,86,80,71,74,67,77,73,71,72,68,71,70,75,69,71,78,68,67,70,72,69,68,64,63,68,67,68,67,63,62,64,60,56,55,51,59,59,60,47,44,56,62,61,71,87,87,82,80,75,68,93,76,72,67,63,61,61,60,60,59,58,58,60
26,air fryer chicken tenders,11,"-2%","20%","-40%",95,95,100,93,93,88,90,75,88,87,87,82,78,75,78,70,79,76,74,75,63,77,75,73,77,69,71,69,71,61,65,61,61,58,56,56,53,51,62,62,61,40,53,60,56,38,62,93,95,84,87,78,77,,,,,,,,,,,,,
27,air fryer brussel sprouts,10,"-20%","-10%","-40%",98,92,100,95,99,96,88,93,88,83,79,79,66,68,65,58,59,54,52,52,46,52,51,52,52,50,50,55,57,47,55,53,56,52,59,59,54,48,56,61,66,100,57,62,49,82,73,87,83,74,69,70,55,,,,,,,,,,,,,
29,airfryer recipes,9,"-10%","-30%","-30%",63,71,74,71,70,67,64,54,58,56,56,75,70,67,57,59,60,60,58,54,48,55,55,59,60,52,52,54,53,49,53,52,48,43,48,48,41,38,42,44,53,41,64,58,56,64,100,91,79,71,61,59,53,52,53,53,54,52,48,43,41,42,45,49,49,48
31,salmon air fryer recipes,8,"-20%","20%","-50%",87,90,100,95,89,89,85,77,82,82,76,79,77,71,70,60,73,67,56,58,50,55,57,56,54,55,52,55,48,46,41,53,51,48,47,35,27,24,31,27,26,18,24,26,21,17,26,45,44,39,38,38,32,35,36,34,33,32,31,29,27,27,26,27,26,24
32,air fryer salmon recipes,8,"-20%","8%","-20%",86,95,99,99,88,93,87,78,90,91,93,86,88,85,86,76,87,86,81,83,68,76,79,79,86,80,90,93,85,79,88,79,82,75,73,69,68,62,72,73,64,40,51,66,59,38,67,95,100,78,79,80,67,,,,,,,,,,,,,
34,air fryer sweet potatoes,7,"-20%","10%","-20%",78,79,87,84,83,78,79,82,83,82,84,77,71,70,71,69,66,68,63,66,57,63,63,67,65,62,57,64,63,61,65,66,63,62,60,59,57,58,67,67,74,77,54,61,51,47,59,97,100,85,86,85,67,72,74,75,72,69,68,67,68,69,71,66,61,59
35,air fryer baked potatoes,7,"-9%","3%","-20%",100,81,90,96,83,81,80,74,87,86,81,86,76,86,79,88,74,77,98,78,81,82,82,80,75,77,74,80,76,82,76,67,70,65,69,59,63,56,65,61,69,50,46,62,40,55,54,52,62,59,57,54,49,,,,,,,,,,,,,
36,air fryer steak,7,"-4%","2%","-20%",92,73,64,66,63,63,60,54,59,54,52,55,53,56,57,54,50,53,57,45,44,46,48,49,50,50,47,46,47,45,45,44,45,39,42,45,41,36,43,53,61,40,50,61,57,49,72,87,88,81,69,73,70,92,74,69,65,63,62,60,56,54,53,55,55,54
38,air fryer broccoli,7,"-20%","10%","-30%",90,90,100,95,95,92,79,79,86,82,86,79,75,70,75,66,67,74,70,73,53,61,64,69,65,69,63,68,71,62,66,61,59,51,54,52,52,46,54,47,52,41,42,47,49,39,57,89,81,79,78,75,60,67,65,63,63,59,57,54,52,52,51,52,48,45
40,chicken wings in air fryer,6,"200%","70%","-30%",100,22,23,22,23,23,24,20,24,20,21,20,21,19,21,24,21,22,21,22,22,19,20,20,21,20,21,20,20,23,23,22,21,20,20,18,19,18,19,19,18,14,15,17,16,18,25,22,26,28,28,27,74,20,18,16,17,18,18,17,16,15,14,16,16,14
42,air fryer bacon,6,"-5%","-20%","-30%",91,94,93,91,89,88,85,96,85,81,85,80,72,73,76,84,76,79,96,85,83,83,87,87,79,80,78,78,81,80,67,68,61,59,60,60,55,57,61,68,67,76,58,59,58,100,73,93,84,79,70,64,60,,,,,,,,,,,,,
43,healthy air fryer recipes,6,"-20%","-50%","-50%",89,93,100,72,58,56,50,48,59,52,49,61,62,63,58,58,51,64,49,54,45,54,51,62,54,54,54,50,44,43,42,47,42,46,46,44,44,32,32,25,24,15,32,22,24,40,95,72,51,39,34,34,28,,,,,,,,,,,,,
45,air fryer asparagus,6,"-20%","6%","-30%",51,50,68,73,76,76,74,100,71,68,62,59,55,58,55,52,54,52,55,42,43,37,37,32,32,33,32,33,31,32,28,29,28,24,24,28,25,22,28,26,28,23,19,23,22,29,25,34,36,32,31,34,28,47,47,49,50,51,54,58,57,54,48,41,39,40
46,air fryer green beans,6,"-20%","5%","-40%",91,92,100,94,94,86,85,95,91,85,86,83,75,72,71,59,68,77,72,71,71,76,74,84,80,76,83,75,78,79,72,65,57,58,59,55,51,44,51,56,56,67,46,50,47,65,60,86,82,80,80,73,59,,,,,,,,,,,,,
47,pork chops in air fryer,6,"-20%","-1%","-30%",71,86,100,88,85,89,80,74,91,82,81,82,78,69,75,60,68,66,67,76,56,63,70,71,69,73,72,68,69,59,64,64,60,60,55,56,55,48,51,58,57,39,51,57,49,32,49,70,66,58,52,60,46,,,,,,,,,,,,,
48,air fryer french fries,6,"-1%","20%","-30%",99,91,100,95,90,84,88,75,88,87,81,77,71,77,74,81,69,74,72,68,73,69,72,71,69,68,64,66,65,71,64,63,64,59,57,53,59,56,54,57,56,43,50,58,54,47,71,86,92,95,86,81,80,,,,,,,,,,,,,
50,air fryer shrimp,6,"-4%","20%","-30%",100,88,96,95,97,94,83,77,82,85,79,75,80,75,72,69,73,69,72,72,61,72,74,69,72,63,65,64,65,54,55,54,50,46,43,42,43,41,44,48,43,30,33,43,44,36,60,69,70,69,73,69,66,71,65,63,62,58,56,54,51,51,47,51,49,47