Rank,Trend,Normalized volume,Weekly change,Monthly change,Yearly change,2024-02-15,2024-02-22,2024-02-29,2024-03-07,2024-03-14,2024-03-21,2024-03-28,2024-04-04,2024-04-11,2024-04-18,2024-04-25,2024-05-02,2024-05-09,2024-05-16,2024-05-23,2024-05-30,2024-06-06,2024-06-13,2024-06-20,2024-06-27,2024-07-04,2024-07-11,2024-07-18,2024-07-25,2024-08-01,2024-08-08,2024-08-15,2024-08-22,2024-08-29,2024-09-05,2024-09-12,2024-09-19,2024-09-26,2024-10-03,2024-10-10,2024-10-17,2024-10-24,2024-10-31,2024-11-07,2024-11-14,2024-11-21,2024-11-28,2024-12-05,2024-12-12,2024-12-19,2024-12-26,2025-01-02,2025-01-09,2025-01-16,2025-01-23,2025-01-30,2025-02-06,2025-02-13,,,,,,,,,,,,,
4,gut health diet,52,"2%","-20%","-20%",55,67,62,59,57,61,61,58,60,57,56,100,72,66,65,65,64,58,55,59,46,61,50,51,53,47,51,48,45,40,40,47,47,52,45,38,34,34,39,37,31,23,30,32,27,34,64,53,39,40,38,37,37,,,,,,,,,,,,,
6,gut healing recipes,38,"-10%","-20%","-1%",52,63,63,62,58,64,66,68,69,67,59,100,78,71,81,80,79,76,72,68,65,79,64,60,59,60,61,63,62,63,57,58,61,54,57,52,48,48,47,47,40,29,51,46,44,35,73,69,52,51,49,49,42,,,,,,,,,,,,,
11,gut healthy meals,19,"-10%","-20%","-30%",51,62,58,54,55,56,57,60,61,55,51,98,76,64,68,65,60,55,51,56,44,57,42,48,48,51,52,53,51,49,48,46,43,47,42,48,45,41,49,50,42,31,48,48,45,39,100,88,67,65,56,60,53,,,,,,,,,,,,,
14,juices for gut health,12,"-20%","-50%","800%",9,11,7,8,8,5,8,7,9,9,9,10,9,14,28,41,52,52,49,62,61,51,48,48,48,42,59,63,100,91,67,69,73,70,66,63,61,62,65,45,52,39,54,63,59,25,46,45,42,29,21,19,17,,,,,,,,,,,,,
17,gut health recipes,10,"-20%","-30%","-30%",43,53,52,53,44,54,48,63,68,67,58,100,78,76,66,66,58,63,66,62,55,74,57,55,57,51,62,57,57,64,49,56,51,51,46,49,54,47,50,49,46,23,39,44,44,36,79,85,54,46,47,49,39,,,,,,,,,,,,,
26,gut healing foods,7,"-30%","-40%","10%",31,38,43,34,31,35,28,46,44,48,30,69,54,57,62,51,65,57,62,76,51,44,36,41,40,37,41,48,49,60,62,42,45,35,45,64,52,41,57,80,74,50,77,78,79,62,100,87,53,41,51,52,37,,,,,,,,,,,,,
27,gut cleanse drink,7,"-1%","-30%","6%",62,71,65,72,64,67,60,78,80,93,78,81,78,68,83,81,85,63,67,60,66,74,66,59,58,57,63,57,57,56,38,42,44,46,48,36,41,35,37,46,40,43,60,49,67,62,100,87,60,59,68,56,56,,,,,,,,,,,,,
28,gut healthy foods,7,"-6%","-30%","30%",34,48,43,39,41,46,34,37,46,56,41,95,65,57,53,57,50,53,52,58,50,53,39,39,40,47,47,51,49,44,49,45,45,48,48,53,55,50,48,53,49,39,54,52,41,44,90,100,66,62,54,48,45,,,,,,,,,,,,,
35,gut healing soup,5,"3%","-9%","-20%",26,26,29,25,26,26,22,25,23,18,27,23,25,28,25,24,24,21,24,18,15,26,24,19,22,27,26,34,30,33,38,29,44,39,36,38,36,35,37,56,48,38,70,46,51,54,82,100,78,77,71,60,62,,,,,,,,,,,,,
45,how to heal your gut,5,"-20%","-50%","1%",36,35,33,35,39,40,31,46,42,42,40,49,41,39,42,37,45,35,30,37,27,30,19,35,27,17,28,30,24,21,25,25,30,24,30,23,25,22,19,16,27,16,29,36,43,61,97,100,97,51,45,41,34,,,,,,,,,,,,,